Player,Draft Year,Height (in),Weight (lbs),Wingspan (in),Wingspan diff
Sergei Lishouk,2004,82.25,244.0,84.0,1.75
Shaun Livingston,2004,78.25,186.0,83.0,4.75
Jaime Lloreda,2004,78.75,247.0,81.5,2.75
Bryant Matthews,2004,77.75,206.0,84.5,6.75
Marcus Melvin,2004,78.75,241.0,84.0,5.25
Rich Melzer,2004,79.5,229.0,86.0,6.5
Ricky Minard,2004,75.25,198.0,79.0,3.75
James Moore,2004,78.5,198.0,84.5,6.0
Marcus Moore,2004,76.0,202.0,81.0,5.0
Michel Morandais,2004,75.75,205.0,83.5,7.75
Jameer Nelson,2004,71.0,199.0,74.5,3.5
Misan Nikagbatse,2004,75.5,223.0,82.0,6.5
Emeka Okafor,2004,80.75,257.0,88.0,7.25
Randall Orr,2004,81.0,193.0,82.5,1.5
Dylan Page,2004,79.5,239.0,79.0,-0.5
Drago Pasalic,2004,81.25,231.0,83.5,2.25
Rickey Paulding,2004,74.75,210.0,81.5,6.75
Kelvin Pena,2004,74.25,182.0,78.5,4.25
Tim Pickett,2004,75.0,207.0,79.5,4.5
Omar Quintero,2004,69.75,170.0,71.5,1.75
Peter Ramos,2004,85.75,266.0,89.5,3.75
Jared Reiner,2004,82.0,246.0,84.5,2.5
Lawrence Roberts,2004,79.5,233.0,81.5,2.0
Bernard Robinson,2004,77.25,208.0,82.0,4.75
Nate Robinson,2004,67.75,181.0,73.0,5.25
Aerick Sanders,2004,78.5,205.0,83.5,5.0
Romain Sato,2004,74.0,204.0,83.0,9.0
Blagota Sekulic,2004,81.25,234.0,83.0,1.75
Josh Smith,2004,79.0,221.0,84.0,5.0
J.R. Smith,2004,77.5,227.0,82.0,4.5
Kirk Snyder,2004,78.0,228.0,81.0,3.0
Pape Sow,2004,80.5,233.0,86.0,5.5
Tiago Splitter,2004,82.25,233.0,86.0,3.75
Blake Stepp,2004,,-,,
Tom Timmerrmans,2004,82.5,272.0,83.0,0.5
Marko Tomas,2004,78.5,198.0,79.0,0.5
Beno Udrih,2004,74.5,199.0,76.5,2.0
Jackson Vroman,2004,81.25,226.0,84.0,2.75
Delonte West,2004,73.5,183.0,78.0,4.5
Damien Wilkins,2004,76.5,222.0,84.0,7.5
Mike Williams,2004,77.5,197.0,83.5,6.0
Nate Williams,2004,80.5,240.0,85.5,5.0
Rashad Wright,2004,72.5,190.0,82.0,9.5
Alex Acker,2005,75.75,183.0,84.0,8.25
Deji Akindele,2005,81.5,236.4,87.0,5.5
Mustafa Al-Sayyad,2005,,-,,
Nemanja Aleksandrov,2005,82.0,220.6,83.0,1.0
Alan Anderson,2005,76.5,223.2,81.5,5.0
Martynas Andriuskevicius,2005,85.25,227.8,83.25,-2.0
Sean Banks,2005,77.75,206.4,85.0,7.25
Eddie Basden,2005,76.25,210.0,82.25,6.0
Mike Bell,2005,80.75,206.2,85.5,4.75
Andrew Bogut,2005,83.0,250.6,87.0,4.0
Dee Brown,2005,71.0,179.0,74.0,3.0
Will Bynum,2005,70.5,188.8,75.5,5.0
Marcus Campbell,2005,82.25,280.4,90.0,7.75
Will Conroy,2005,73.0,188.6,75.0,2.0
Taylor Coppenrath,2005,79.75,252.4,83.5,3.75
Travis Diener,2005,71.75,165.2,71.75,0.0
Ike Diogu,2005,78.5,255.4,87.5,9.0
Daryl Dorsey,2005,71.25,160.8,71.5,0.25
Monta Ellis,2005,74.25,176.6,74.75,0.5
Raymond Felton,2005,71.5,199.4,76.25,4.75
Rudy Fernandez,2005,76.75,172.0,79.5,2.75
D'Or Fischer,2005,81.25,242.4,90.0,8.75
Eddy Fobbs,2005,82.25,235.2,90.75,8.5
Sharrod Ford,2005,79.25,212.8,85.5,6.25
Channing Frye,2005,81.5,243.6,86.5,5.0
Deng Gai,2005,79.75,214.0,88.5,8.75
Francisco Garcia,2005,77.75,189.6,82.75,5.0
John Gilchrist,2005,73.25,195.2,81.25,8.0
Marcin Gortat,2005,83.0,225.2,87.5,4.5
Joey Graham,2005,77.25,216.6,80.0,2.75
Danny Granger,2005,79.5,225.4,85.5,6.0
Gerald Green,2005,78.0,192.0,81.75,3.75
Charles Hayes,2005,77.5,232.4,82.0,4.5
Luther Head,2005,74.0,178.8,77.25,3.25
Julius Hodge,2005,78.0,202.2,84.5,6.5
Jared Homan,2005,79.75,248.2,85.25,5.5
Ersan Ilyasova,2005,79.75,208.8,85.25,5.5
Jarrett Jack,2005,74.5,197.6,79.5,5.0
Dwayne Jones,2005,80.5,242.2,86.75,6.25
Mindaugas Katelynas,2005,79.5,217.0,83.0,3.5
Jason Klotz,2005,80.5,249.4,82.0,1.5
Carl Krauser,2005,71.5,193.4,77.5,6.0
Keith Langford,2005,74.25,203.2,81.0,6.75
David Lee,2005,79.75,229.5,84.0,4.25
David Lucas,2005,78.5,233.4,84.0,5.5
John Lucas III,2005,69.25,154.4,72.0,2.75
Rawle Marshall,2005,76.5,186.6,85.0,8.5
Jason Maxiell,2005,77.0,257.6,87.25,10.25
Sean May,2005,79.0,258.8,85.25,6.25
Rashad McCants,2005,74.75,201.0,82.75,8.0
Ivan McFarlin,2005,77.5,228.6,81.0,3.5
Juan Mendez,2005,77.25,231.4,84.0,6.75
Aaron Miles,2005,72.0,174.6,75.5,3.5
Ellis Myles,2005,78.0,255.2,81.75,3.75
Larry O'Bannon,2005,75.0,196.0,78.0,3.0
Drago Pasalic,2005,81.5,238.8,83.75,2.25
Chris Paul,2005,71.75,178.0,76.25,4.5
Kevin Pittsnogle,2005,81.25,259.2,82.5,1.25
Carlos Powell,2005,77.25,221.8,82.75,5.5
Roger Powell,2005,76.75,218.6,83.5,6.75
Ronnie Price,2005,72.75,184.8,77.5,4.75
Anthony Roberson,2005,72.75,178.8,74.75,2.0
Brandon Rush,2005,77.0,211.4,83.25,6.25
Luke Schenscher,2005,83.75,241.6,89.0,5.25
Wayne Simien,2005,79.25,255.8,84.0,4.75
Tre Simmons,2005,76.0,194.2,79.5,3.5
