Player,Draft Year,Height (in),Weight (lbs),Wingspan (in),Wingspan diff
Patty Mills,2009,71.25,175.4,74.0,2.75
Byron Mullens,2009,83.75,258.2,85.5,1.75
A.J. Price,2009,72.5,192.8,75.75,3.25
Tyler Smith,2009,77.25,212.0,81.75,4.5
DaJuan Summers,2009,79.25,243.0,84.75,5.5
Jermaine Taylor,2009,75.5,207.4,80.75,5.25
Jeff Teague,2009,72.25,175.2,79.5,7.25
Hasheem Thabeet,2009,85.25,267.2,90.25,5.0
Marcus Thornton,2009,74.75,194.4,77.0,2.25
Terrence Williams,2009,77.0,213.2,81.0,4.0
Sam Young,2009,77.25,222.8,82.75,5.5
Solomon Alabi,2010,83.5,237.4,89.0,5.5
Cole Aldrich,2010,81.0,236.0,88.75,7.75
Al-Farouq Aminu,2010,79.25,216.0,87.25,8.0
James Anderson,2010,76.75,207.6,80.5,3.75
Luke Babbitt,2010,79.5,217.8,83.25,3.75
Eric Bledsoe,2010,72.25,191.6,79.5,7.25
Trevor Booker,2010,78.25,235.8,81.75,3.5
Craig Brackins,2010,80.5,229.0,84.0,3.5
Avery Bradley,2010,74.0,180.4,79.25,5.25
Derrick Caracter,2010,80.25,280.0,84.25,4.0
Sherron Collins,2010,70.25,217.2,74.5,4.25
DeMarcus Cousins,2010,81.5,291.8,89.75,8.25
Jordan Crawford,2010,75.0,198.4,79.0,4.0
Ed Davis,2010,81.0,226.6,84.0,3.0
Devin Ebanks,2010,79.0,207.8,84.25,5.25
Derrick Favors,2010,80.75,245.2,88.0,7.25
Keith Gallon,2010,80.5,301.8,88.5,8.0
Charles Garcia,2010,80.25,231.6,85.75,5.5
Paul George,2010,79.75,214.4,83.25,3.5
Luke Harangody,2010,78.0,240.2,81.5,3.5
Manny Harris,2010,76.0,185.1,79.25,3.25
Lazar Hayward,2010,76.5,225.8,84.75,8.25
Gordon Hayward,2010,78.75,211.0,79.75,1.0
Xavier Henry,2010,77.25,210.2,83.25,6.0
Darington Hobson,2010,77.25,203.6,81.25,4.0
Damion James,2010,78.25,226.6,84.75,6.5
Wesley Johnson,2010,78.25,206.4,85.0,6.75
Armon Johnson,2010,74.0,195.2,80.0,6.0
Dominique Jones,2010,75.25,216.0,81.25,6.0
Jerome Jordan,2010,83.5,244.2,89.25,5.75
Sylven Landesberg,2010,76.75,210.0,81.0,4.25
Gani Lawal,2010,79.5,233.4,84.0,4.5
Greg Monroe,2010,81.75,246.6,86.25,4.5
Daniel Orton,2010,80.75,269.2,88.25,7.5
Artsiom Parakhouski,2010,82.25,268.2,85.0,2.75
Patrick Patterson,2010,80.0,239.6,85.25,5.25
Dexter Pittman,2010,81.5,302.6,90.0,8.5
Andy Rautins,2010,76.25,191.6,79.0,2.75
Ryan Richards,2010,82.5,230.2,85.5,3.0
Stanley Robinson,2010,78.5,213.2,84.0,5.5
Larry Sanders,2010,81.25,222.4,89.75,8.5
Jon Scheyer,2010,76.75,180.0,75.25,-1.5
Lance Stephenson,2010,76.5,227.0,82.5,6.0
Mikhail Torrance,2010,76.0,208.8,79.5,3.5
Evan Turner,2010,77.75,213.8,80.0,2.25
Ekpe Udoh,2010,80.75,237.4,88.5,7.75
Jarvis Varnado,2010,80.25,210.2,87.5,7.25
Greivis Vasquez,2010,77.0,210.8,79.0,2.0
John Wall,2010,74.75,195.6,81.25,6.5
Willie Warren,2010,74.5,208.4,78.0,3.5
Terrico White,2010,75.75,202.6,81.0,5.25
Hassan Whiteside,2010,82.5,226.6,91.0,8.5
Keith Benson,2011,82.0,217.0,87.75,5.75
Marshon Brooks,2011,76.25,194.6,85.0,8.75
Alec Burks,2011,77.0,192.6,82.0,5.0
Jimmy Butler,2011,78.0,222.2,79.5,1.5
Norris Cole,2011,72.25,174.4,74.25,2.0
Jon Diebler,2011,77.25,196.6,78.0,0.75
Michael Dunigan,2011,80.5,237.6,87.25,6.75
LaceDarius Dunn,2011,75.0,187.8,78.25,3.25
Kenneth Faried,2011,78.0,224.6,84.0,6.0
James Fredette,2011,72.75,196.0,76.5,3.75
Andrew Goudelock,2011,73.25,197.6,76.25,3.0
Jordan Hamilton,2011,78.75,228.4,81.5,2.75
Justin Harper,2011,80.0,228.0,83.75,3.75
Tobias Harris,2011,78.5,222.8,83.0,4.5
Tyler Honeycutt,2011,78.75,186.8,81.0,2.25
Scotty Hopson,2011,77.75,204.6,82.5,4.75
Kyrie Irving,2011,73.75,191.0,76.0,2.25
Rick Jackson,2011,80.25,241.8,86.0,5.75
Charles Jenkins,2011,73.5,216.4,79.5,6.0
JaJuan Johnson,2011,81.0,219.8,86.0,5.0
Cory Joseph,2011,74.0,186.2,77.5,3.5
Enes Kanter,2011,81.75,259.2,85.5,3.75
Brandon Knight,2011,73.5,176.8,78.75,5.25
Malcolm Lee,2011,76.0,198.2,81.75,5.75
Kawhi Leonard,2011,78.0,227.4,87.0,9.0
Travis Leslie,2011,75.0,205.0,82.5,7.5
Jon Leuer,2011,82.0,223.2,84.0,2.0
DeAndre Liggins,2011,77.0,202.2,83.0,6.0
David Lighty,2011,76.75,216.2,80.0,3.25
Shelvin Mack,2011,73.0,209.0,79.5,6.5
Demetri McCamey,2011,73.75,204.0,78.25,4.5
E'Twaun Moore,2011,74.5,191.4,81.5,7.0
Marcus Morris,2011,79.0,229.6,82.0,3.0
Markieff Morris,2011,79.75,240.8,82.75,3.0
Darius Morris,2011,75.25,190.0,79.5,4.25
Chandler Parsons,2011,80.75,221.2,81.5,0.75
Jereme Richmond,2011,78.0,207.2,82.25,4.25
Josh Selby,2011,73.75,194.6,77.25,3.5
Iman Shumpert,2011,76.25,221.8,81.5,5.25
Kyle Singler,2011,79.5,228.0,82.1,2.5999999999999943
Chris Singleton,2011,79.75,230.2,85.0,5.25
Jamie Skeen,2011,78.5,241.6,85.25,6.75
Nolan Smith,2011,73.5,187.6,77.5,4.0
Gregory Smith,2011,80.0,252.8,86.5,6.5
Malcolm Thomas,2011,79.5,223.0,84.5,5.0
Isaiah Thomas,2011,68.75,186.0,73.75,5.0
Trey Thompkins,2011,80.5,239.0,85.0,4.5
Tristan Thompson,2011,79.5,227.4,85.25,5.75
Klay Thompson,2011,77.75,205.6,81.0,3.25
Jeremy Tyler,2011,81.0,262.4,89.0,8.0
Nikola Vucevic,2011,82.25,259.8,88.5,6.25
Kemba Walker,2011,71.5,184.0,75.5,4.0
Jordan Williams,2011,79.75,247.2,84.25,4.5
Derrick Williams,2011,79.25,248.4,85.5,6.25
Quincy Acy,2012,78.5,223.8,86.75,8.25
Harrison Barnes,2012,79.0,227.8,83.25,4.25
Will Barton,2012,77.0,174.4,81.75,4.75
Bradley Beal,2012,75.25,201.8,80.0,4.75
J'Covan Brown,2012,73.0,202.4,77.25,4.25
William Buford,2012,76.0,214.6,81.5,5.5
Jae Crowder,2012,76.75,241.2,81.25,4.5
Jared Cunningham,2012,75.5,187.6,78.5,3.0
Anthony Davis,2012,81.25,221.8,89.5,8.25
Marcus Denmon,2012,74.25,188.2,77.0,2.75
Andre Drummond,2012,81.75,278.6,90.25,8.5
Kim English,2012,76.5,192.0,78.5,2.0
Festus Ezeli,2012,81.75,264.2,89.75,8.0
Drew Gordon,2012,80.0,239.0,83.5,3.5
JaMychal Green,2012,80.0,217.4,86.25,6.25
Draymond Green,2012,77.75,235.6,85.25,7.5
Maurice Harkless,2012,79.25,206.6,84.0,4.75
John Henson,2012,81.0,216.0,89.0,8.0
Tu Holloway,2012,70.5,186.8,77.5,7.0
Robbie Hummel,2012,79.25,218.0,80.5,1.25
Bernard James,2012,80.75,229.8,87.0,6.25
John Jenkins,2012,75.25,212.0,80.5,5.25
Orlando Johnson,2012,75.75,223.8,83.25,7.5
Darius Johnson-Odom,2012,73.5,212.0,79.0,5.5
Terrence Jones,2012,80.25,252.0,86.25,6.0
Kevin Jones,2012,78.25,251.2,85.5,7.25
Perry Jones,2012,82.25,233.8,85.75,3.5
Kris Joseph,2012,78.0,215.0,83.0,5.0
Michael Kidd-Gilchrist,2012,77.75,232.8,84.0,6.25
Doron Lamb,2012,75.25,199.4,78.75,3.5
Jeremy Lamb,2012,76.0,179.2,83.0,7.0
Meyers Leonard,2012,83.75,249.8,87.0,3.25
Damian Lillard,2012,73.75,188.8,79.75,6.0
Scott Machado,2012,73.0,205.8,76.0,3.0
Kendall Marshall,2012,75.25,198.4,77.5,2.25
Fab Melo,2012,82.75,255.0,86.5,3.75
Khris Middleton,2012,78.75,216.2,82.75,4.0
Darius Miller,2012,78.0,233.4,81.0,3.0
Quincy Miller,2012,80.75,218.7,85.25,4.5
Tony Mitchell,2012,77.25,216.4,82.0,4.75
Arnett Moultrie,2012,81.5,232.8,86.25,4.75
Kevin Murphy,2012,77.0,194.0,78.75,1.75
Andrew Nicholson,2012,80.5,234.0,88.0,7.5
Kyle O'Quinn,2012,80.5,240.8,88.75,8.25
Miles Plumlee,2012,82.5,252.4,84.75,2.25
Austin Rivers,2012,75.5,202.8,79.25,3.75
Thomas Robinson,2012,79.75,244.2,87.25,7.5
Terrence Ross,2012,78.0,196.6,79.25,1.25
Tomas Satoransky,2012,78.5,200.6,79.25,0.75
Mike Scott,2012,79.25,240.8,82.75,3.5
Henry Sims,2012,82.0,241.2,88.0,6.0
Jared Sullinger,2012,79.75,268.2,85.25,5.5
Tyshawn Taylor,2012,74.75,177.0,78.25,3.5
Jordan Taylor,2012,73.0,192.8,75.0,2.0
Jeff Taylor,2012,78.0,212.8,78.25,0.25
Marquis Teague,2012,73.0,179.8,79.25,6.25
Hollis Thompson,2012,78.75,206.0,81.5,2.75
Dion Waiters,2012,74.5,221.0,79.25,4.75
Royce White,2012,79.0,260.6,84.0,5.0
Tony Wroten,2012,76.75,203.2,81.0,4.25
Tyler Zeller,2012,83.25,247.4,84.0,0.75
Steven Adams,2013,82.75,254.5,88.5,5.75
Vander Blue,2013,75.5,197.4,78.0,2.5
Lorenzo Brown,2013,76.0,189.2,79.0,3.0
Reggie Bullock,2013,77.75,199.8,80.75,3.0
Trey Burke,2013,71.75,187.0,77.5,5.75
Kentavious Caldwell-Pope,2013,76.5,203.6,80.0,3.5
Isaiah Canaan,2013,71.0,188.4,76.5,5.5
Jackie Carmichael,2013,79.5,241.2,85.5,6.0
Michael Carter-Williams,2013,76.75,184.4,79.25,2.5
Will Clyburn,2013,77.75,210.4,84.25,6.5
Robert Covington,2013,78.25,208.6,85.75,7.5
Allen Crabbe,2013,77.25,197.4,83.25,6.0
Seth Curry,2013,73.0,179.2,76.0,3.0
Brandon Davies,2013,80.5,241.8,85.5,5.0
Dewayne Dedmon,2013,82.0,238.8,88.0,6.0
Gorgui Dieng,2013,81.75,229.6,87.5,5.75
James Ennis,2013,77.75,200.8,83.5,5.75
Carrick Felix,2013,76.75,202.6,81.25,4.5
Jamaal Franklin,2013,76.0,190.8,83.25,7.25
Rudy Gobert,2013,84.5,237.6,92.5,8.0
Archie Goodwin,2013,75.75,189.0,81.5,5.75
Erick Green,2013,73.5,178.2,77.75,4.25
Tim Hardaway Jr.,2013,76.5,199.4,79.0,2.5
Solomon Hill,2013,77.5,226.0,81.0,3.5
Richard Howell,2013,78.25,249.6,82.25,4.0
Colton Iverson,2013,82.5,262.8,86.0,3.5
Pierre Jackson,2013,69.5,176.0,70.0,0.5
Grant Jerrett,2013,80.75,232.0,86.0,5.25
Myck Kabongo,2013,73.25,180.4,78.25,5.0
Kenny Kadji,2013,80.75,241.6,87.0,6.25
Ryan Kelly,2013,81.75,228.0,83.5,1.75
Shane Larkin,2013,70.25,170.8,70.75,0.5
Ricky Ledo,2013,76.75,197.2,79.25,2.5
Alex Len,2013,,-,87.5,
CJ Leslie,2013,79.5,209.2,86.25,6.75
Trevor Mbakwe,2013,78.75,235.8,88.0,9.25
Ray McCallum,2013,72.25,191.4,75.25,3.0
CJ McCollum,2013,74.25,197.0,78.25,4.0
Ben McLemore,2013,75.5,189.2,79.75,4.25
Tony Mitchell,2013,79.5,236.4,86.5,7.0
Shabazz Muhammad,2013,76.75,221.8,83.0,6.25
Erik Murphy,2013,80.75,239.8,82.5,1.75
Mike Muscala,2013,82.25,230.2,85.0,2.75
Nerlens Noel,2013,82.0,206.4,87.75,5.75
Victor Oladipo,2013,75.25,213.2,81.25,6.0
Kelly Olynyk,2013,82.75,234.0,81.75,-1.0
Brandon Paul,2013,74.75,201.0,82.25,7.5
Norvel Pelle,2013,81.5,207.2,86.5,5.0
Mason Plumlee,2013,83.25,238.2,83.0,-0.25
Otto Porter,2013,79.5,197.6,85.5,6.0
Phil Pressey,2013,69.5,177.0,74.25,4.75
Glen Rice,2013,76.5,210.8,81.25,4.75
Andre Roberson,2013,78.25,205.8,83.0,4.75
Dennis Schroder,2013,73.0,164.8,79.75,6.75
Peyton Siva,2013,71.5,180.6,75.0,3.5
Tony Snell,2013,78.0,198.2,83.5,5.5
James Southerland,2013,79.0,220.6,85.0,6.0
Adonis Thomas,2013,76.75,231.8,85.0,8.25
Deshaun Thomas,2013,77.0,219.8,82.0,5.0
Jeff Withey,2013,82.75,221.8,86.0,3.25
Nate Wolters,2013,75.5,196.4,75.75,0.25
BJ Young,2013,74.25,178.8,80.25,6.0
Cody Zeller,2013,82.75,230.0,82.75,0.0
Jordan Adams,2014,75.5,208.8,82.0,6.5
Kyle Anderson,2014,79.5,230.1,86.75,7.25
Thanasis Antetokounmpo,2014,77.25,205.2,84.0,6.75
Jordan Bachynski,2014,85.25,254.1,88.0,2.75
Cameron Bairstow,2014,80.75,252.4,84.75,4.0
Khem Birch,2014,79.5,208.8,85.0,5.5
Alec Brown,2014,84.25,231.2,85.5,1.25
Markel Brown,2014,74.5,184.4,80.75,6.25
Jabari Brown,2014,75.0,201.9,80.25,5.25
Deonte Burton,2014,72.0,192.8,79.0,7.0
Semaj Christon,2014,73.5,186.0,78.5,5.0
Jordan Clarkson,2014,75.25,186.3,80.0,4.75
Aaron Craft,2014,72.75,191.6,74.0,1.25
DeAndre Daniels,2014,79.25,196.0,86.0,6.75
Spencer Dinwiddie,2014,76.5,204.9,80.25,3.75
Cleanthony Early,2014,78.0,209.4,82.75,4.75
Melvin Ejim,2014,77.25,218.5,83.25,6.0
Tyler Ennis,2014,73.0,181.5,79.25,6.25
Dante Exum,2014,76.5,196.3,81.5,5.0
C.J. Fair,2014,78.5,218.1,81.5,3.0
Aaron Gordon,2014,79.5,220.1,83.75,4.25
Jerami Grant,2014,78.5,214.0,86.75,8.25
P.J. Hairston,2014,76.25,228.8,81.0,4.75
Gary Harris,2014,74.5,204.8,78.75,4.25
Joe Harris,2014,76.75,215.0,78.0,1.25
Rodney Hood,2014,79.25,208.2,80.5,1.25
Cory Jefferson,2014,79.75,218.4,84.5,4.75
Nick Johnson,2014,73.5,198.0,79.25,5.75
Sean Kilpatrick,2014,74.5,218.7,79.0,4.5
Alex Kirk,2014,81.25,252.0,87.5,6.25
Zach LaVine,2014,76.5,180.9,80.25,3.75
Devyn Marble,2014,77.0,192.4,81.0,4.0
James McAdoo,2014,79.5,227.6,86.25,6.75
K.J. McDaniels,2014,76.5,195.6,83.25,6.75
Doug McDermott,2014,78.25,218.0,81.25,3.0
Jordan McRae,2014,75.75,179.4,84.5,8.75
Shabazz Napier,2014,71.0,175.2,75.25,4.25
Johnny O?Bryant III,2014,79.25,256.8,86.25,7.0
Lamar Patterson,2014,76.0,226.0,83.0,7.0
Adreian Payne,2014,81.0,238.5,88.0,7.0
Elfrid Payton,2014,74.5,185.4,80.0,5.5
Dwight Powell,2014,81.5,234.4,84.5,3.0
Julius Randle,2014,79.75,249.7,84.0,4.25
Glenn Robinson III,2014,77.5,211.4,82.0,4.5
LaQuinton Ross,2014,78.5,238.7,85.75,7.25
Marcus Smart,2014,74.0,227.2,81.25,7.25
Russ Smith,2014,71.5,160.0,75.5,4.0
Nik Stauskas,2014,77.25,206.9,79.75,2.5
Jarnell Stokes,2014,79.0,262.8,85.25,6.25
Xavier Thames,2014,74.25,187.0,76.0,1.75
Noah Vonleh,2014,80.0,247.1,88.25,8.25
T.J. Warren,2014,79.0,220.2,82.25,3.25
C.J. Wilcox,2014,75.5,201.0,81.75,6.25
Kendall Williams,2014,74.25,183.0,77.5,3.25
Patric Young,2014,80.5,246.8,85.75,5.25
James Young,2014,77.25,213.3,84.0,6.75
Cliff Alexander,2015,79.25,239.2,87.5,8.25
Justin Anderson,2015,77.25,230.6,83.75,6.5
Brandon Ashley,2015,79.25,228.0,87.75,8.5
Ryan Boatright,2015,70.0,169.6,72.5,2.5
Devin Booker,2015,76.5,205.8,80.25,3.75
Anthony Brown,2015,77.75,211.0,83.0,5.25
Willie Cauley-Stein,2015,83.25,242.4,87.0,3.75
Rakeem Christmas,2015,80.25,242.6,89.25,9.0
Pat Connaughton,2015,76.0,215.0,80.0,4.0
Quinn Cook,2015,72.25,179.0,76.0,3.75
Branden Dawson,2015,77.5,230.2,83.0,5.5
Sam Dekker,2015,79.75,218.6,83.5,3.75
Michael Frazier II,2015,75.75,199.4,80.0,4.25
Treveon Graham,2015,76.0,219.4,82.5,6.5
Jerian Grant,2015,75.25,198.0,79.5,4.25
Olivier Hanlan,2015,75.25,185.8,78.0,2.75
Montrezl Harrell,2015,79.0,253.4,88.25,9.25
Andrew Harrison,2015,76.5,213.2,81.0,4.5
Aaron Harrison,2015,76.5,209.2,80.25,3.75
Tyler Harvey,2015,74.75,181.4,77.5,2.75
Corey Hawkins,2015,72.75,191.8,80.0,7.25
Rondae Hollis-Jefferson,2015,77.5,210.8,86.0,8.5
Richaun Holmes,2015,80.25,242.8,85.5,5.25
Jonathan Holmes,2015,80.25,242.2,83.5,3.25
R.J. Hunter,2015,76.5,185.0,82.5,6.0
Vince Hunter,2015,78.75,208.4,83.0,4.25
Dakari Johnson,2015,83.0,264.6,86.0,3.0
Stanley Johnson,2015,77.0,241.8,83.5,6.5
Tyus Jones,2015,72.5,184.6,77.0,4.5
Frank Kaminsky,2015,83.75,231.2,83.0,-0.75
Kevon Looney,2015,80.0,222.4,87.5,7.5
Trey Lyles,2015,81.0,241.2,85.5,4.5
Jarell Martin,2015,80.0,238.6,81.0,1.0
TJ McConnell,2015,72.5,187.8,74.0,1.5
Chris McCullough,2015,80.25,199.0,87.25,7.0
Jordan Mickey,2015,79.0,238.0,87.25,8.25
Larry Nance,2015,79.5,226.6,85.5,6.0
Kelly Oubre,2015,77.75,202.8,86.25,8.5
Cameron Payne,2015,72.75,182.8,79.25,6.5
Terran Petteway,2015,76.75,209.2,83.25,6.5
Bobby Portis,2015,81.5,246.2,86.0,4.5
Norman Powell,2015,75.0,215.4,82.75,7.75
Michael Qualls,2015,76.0,201.4,84.25,8.25
Chasson Randle,2015,72.25,178.8,79.0,6.75
Terry Rozier,2015,72.5,190.2,80.25,7.75
D?Angelo Russell,2015,75.25,193.4,81.75,6.5
Keifer Sykes,2015,70.5,167.2,74.0,3.5
Marcus Thornton,2015,73.75,177.4,79.75,6.0
J.P. Tokoto,2015,77.25,195.8,82.0,4.75
Myles Turner,2015,81.75,238.6,88.0,6.25
Robert Upshaw,2015,82.75,258.2,89.5,6.75
Rashad Vaughn,2015,75.75,198.6,79.0,3.25
Chris Walker,2015,80.75,208.0,86.75,6.0
Dez Wells,2015,75.0,208.8,81.5,6.5
Alan Williams,2015,79.25,261.4,85.75,6.5
Justise Winslow,2015,76.5,221.8,82.25,5.75
Christian Wood,2015,81.25,216.0,87.25,6.0
Delon Wright,2015,76.25,181.4,79.5,3.25
Ron Baker,2016,75.25,212.4,81.75,6.5
Wade Baldwin IV,2016,74.5,201.8,83.25,8.75
Cat Barber,2016,73.5,173.0,77.5,4.0
Malik Beasley,2016,75.5,189.8,79.0,3.5
DeAndre Bembry,2016,76.25,206.6,81.25,5.0
Ben Bentil,2016,79.25,229.2,85.5,6.25
Jaron Blossomgame,2016,78.25,213.6,82.0,3.75
Joel Bolomboy,2016,79.5,224.4,85.75,6.25
Malcolm Brogdon,2016,75.75,223.0,82.5,6.75
Jaylen Brown,2016,77.25,222.8,83.75,6.5
Marquese Chriss,2016,80.75,233.0,84.25,3.5
Elgin Cook,2016,77.0,209.8,82.0,5.0
Isaiah Cousins,2016,75.25,194.0,78.25,3.0
Deyonta Davis,2016,81.25,237.2,86.5,5.25
Cheick Diallo,2016,79.5,218.6,88.5,9.0
Kris Dunn,2016,75.0,-,81.5,6.5
Henry Ellenson,2016,82.0,242.0,86.25,4.25
Perry Ellis,2016,79.0,217.8,82.25,3.25
Kay Felder,2016,68.25,177.2,74.5,6.25
Dorian Finney-Smith,2016,78.5,212.6,83.75,5.25
Michael Gbinije,2016,77.5,204.6,79.5,2.0
Daniel Hamilton,2016,78.25,197.0,81.0,2.75
Josh Hart,2016,76.0,203.6,80.5,4.5
Nigel Hayes,2016,78.25,245.0,87.0,8.75
Buddy Hield,2016,75.75,212.4,81.25,5.5
Justin Jackson,2016,79.0,193.4,82.75,3.75
Demetrius Jackson,2016,72.0,193.8,77.5,5.5
Brice Johnson,2016,81.0,208.6,84.5,3.5
Damian Jones,2016,82.25,243.6,87.75,5.5
Skal Labissiere,2016,82.5,215.8,86.5,4.0
Jake Layman,2016,80.0,208.6,81.25,1.25
Caris LeVert,2016,77.75,191.0,82.0,4.25
Marcus Lee,2016,81.0,211.0,87.0,6.0
Thon Maker,2016,83.75,216.0,87.0,3.25
Patrick McCaw,2016,77.25,180.8,82.0,4.75
Malik Newman,2016,74.25,182.2,77.75,3.5
Georges Niang,2016,78.75,230.8,82.0,3.25
Chinanu Onuaku,2016,81.0,245.2,86.75,5.75
Marcus Paige,2016,72.5,163.8,78.25,5.75
Gary Payton II,2016,74.0,183.8,80.0,6.0
Jakob Poeltl,2016,84.25,239.0,86.75,2.5
Taurean Prince,2016,78.5,220.2,83.5,5.0
Zhou Qi,2016,85.25,218.2,91.75,6.5
Malachi Richardson,2016,76.75,199.6,84.0,7.25
Wayne Selden,2016,76.25,232.4,82.5,6.25
Pascal Siakam,2016,80.25,226.6,87.25,7.0
Diamond Stone,2016,81.0,254.4,86.75,5.75
Caleb Swanigan,2016,79.5,246.6,87.5,8.0
Melo Trimble,2016,73.25,191.8,74.0,0.75
Tyler Ulis,2016,68.75,149.2,74.0,5.25
Jarrod Uthoff,2016,80.5,214.4,83.5,3.0
Denzel Valentine,2016,76.0,210.4,82.75,6.75
Isaiah Whitehead,2016,75.25,210.0,80.75,5.5
Troy Williams,2016,77.75,217.8,80.25,2.5
Kyle Wiltjer,2016,80.75,242.8,84.25,3.5
Stephen Zimmerman,2016,82.25,234.0,87.25,5.0
Edrice Adebayo,2017,80.75,242.6,86.75,6.0
Rawle Alkins,2017,74.5,222.6,80.75,6.25
Jarrett Allen,2017,81.0,233.6,89.25,8.25
Kadeem Allen,2017,73.0,192.4,81.25,8.25
Ike Anigbogu,2017,80.5,252.2,90.25,9.75
OG Anunoby,2017,78.25,232.4,86.25,8.0
Jamel Artis,2017,77.5,213.2,82.0,4.5
Dwayne Bacon,2017,76.75,221.6,82.0,5.25
V.J. Beachem,2017,78.25,193.4,82.25,4.0
Jordan Bell,2017,79.0,223.6,83.75,4.75
Jaron Blossomgame,2017,77.75,218.6,82.0,4.25
Chris Boucher,2017,80.0,182.2,88.0,8.0
Tony Bradley,2017,81.25,248.8,89.0,7.75
Isaiah Briscoe,2017,73.25,222.4,81.0,7.75
Dillon Brooks,2017,77.0,220.2,78.0,1.0
Thomas Bryant,2017,81.5,247.8,90.0,8.5
Zach Collins,2017,82.25,232.2,85.0,2.75
John Collins,2017,80.25,225.2,83.25,3.0
Hamidou Diallo,2017,75.75,197.4,83.25,7.5
Tyler Dorsey,2017,75.0,182.6,77.25,2.25
Damyean Dotson,2017,76.5,205.2,81.0,4.5
PJ Dozier,2017,77.25,200.6,83.0,5.75
Jawun Evans,2017,70.75,185.2,77.5,6.75
Terrance Ferguson,2017,77.5,184.4,80.75,3.25
De?Aaron Fox,2017,74.0,169.6,78.5,4.5
Markelle Fultz,2017,,-,,
Harry Giles,2017,81.25,232.0,87.25,6.0
Josh Hart,2017,75.75,209.2,80.25,4.5
Nigel Hayes,2017,78.25,254.2,87.25,9.0
Isaiah Hicks,2017,79.25,233.4,84.5,5.25
Wesley Iwundu,2017,77.5,193.4,85.0,7.5
Frank Jackson,2017,74.0,201.6,79.5,5.5
Justin Jackson (UMD),2017,77.75,219.4,87.25,9.5
Justin Jackson (UNC),2017,79.0,200.8,83.0,4.0
Peter Jok,2017,76.25,202.4,80.0,3.75
Luke Kennard,2017,76.5,196.2,77.25,0.75
Kyle Kuzma,2017,80.0,222.6,84.25,4.25
TJ Leaf,2017,80.75,222.2,83.0,2.25
Tyler Lydon,2017,80.25,215.0,84.0,3.75
Frank Mason III,2017,71.0,188.8,75.25,4.25
Kennedy Meeks,2017,80.75,276.6,85.0,4.25
Donovan Mitchell,2017,73.25,211.4,82.0,8.75
Monte Morris,2017,73.25,175.2,76.0,2.75
Johnathan Motley,2017,79.75,238.2,88.0,8.25
Svi Mykhailiuk,2017,78.5,219.6,77.0,-1.5
Semi Ojeleye,2017,77.25,241.4,81.75,4.5
Cameron Oliver,2017,79.0,238.6,85.25,6.25
Justin Patton,2017,82.0,229.0,87.0,5.0
Alec Peters,2017,79.25,232.0,82.75,3.5
Ivan Rabb,2017,80.75,219.6,85.5,4.75
Davon Reed,2017,76.5,206.2,84.0,7.5
Devin Robinson,2017,79.0,189.6,84.75,5.75
Kobi Simmons,2017,75.25,166.2,78.0,2.75
Edmond Sumner,2017,76.0,176.4,81.0,5.0
Caleb Swanigan,2017,79.5,245.6,87.0,7.5
Sindarius Thornwell,2017,75.5,211.6,82.0,6.5
Melo Trimble,2017,73.25,195.2,74.0,0.75
Moritz Wagner,2017,82.0,231.2,84.0,2.0
Derrick Walton Jr.,2017,71.0,188.6,74.5,3.5
Thomas Welsh,2017,83.5,254.0,84.0,0.5
Derrick White,2017,75.25,189.8,79.5,4.25
Nigel Williams-Goss,2017,73.5,190.2,79.25,5.75
D.J. Wilson,2017,80.75,234.4,87.0,6.25
Omer Yurtseven,2017,82.5,248.4,85.0,2.5
Rawle Alkins,2018,74.75,217.4,80.75,6.0
Grayson Allen,2018,75.0,198.0,79.25,4.25
Kostas Antetokounmpo,2018,81.0,194.8,86.25,5.25
Udoka Azubuike,2018,82.0,273.8,91.0,9.0
Mohamed Bamba,2018,83.25,225.6,94.0,10.75
Jaylen Barford,2018,73.25,207.6,75.5,2.25
Keita Bates-Diop,2018,79.25,223.8,87.25,8.0
Tyus Battle,2018,77.0,200.2,81.0,4.0
Brian Bowen,2018,78.25,202.0,82.25,4.0
Miles Bridges,2018,77.25,220.4,81.5,4.25
Bruce Brown,2018,75.5,194.6,81.0,5.5
Troy Brown,2018,77.75,208.0,82.25,4.5
Jalen Brunson,2018,73.0,198.4,76.0,3.0
Tony Carr,2018,75.0,198.8,80.25,5.25
Jevon Carter,2018,72.25,196.2,76.25,4.0
Wendell Carter,2018,80.75,251.4,88.5,7.75
Donte DiVincenzo,2018,75.5,200.6,78.0,2.5
Hamidou Diallo,2018,76.25,197.0,83.5,7.25
Trevon Duval,2018,73.5,191.0,80.25,6.75
Carsen Edwards,2018,70.75,195.6,78.25,7.5
Keenan Evans,2018,73.5,183.2,77.25,3.75
Jacob Evans,2018,76.25,199.6,81.25,5.0
Bruno Fernando,2018,80.75,233.2,88.25,7.5
Melvin Frazier,2018,76.5,198.2,85.75,9.25
Shai Gilgeous-Alexander,2018,76.5,180.0,83.5,7.0
Devonte Graham,2018,72.25,186.4,78.25,6.0
Isaac Haas,2018,85.25,303.0,89.0,3.75
Devon Hall,2018,76.25,206.4,79.75,3.5
Jaylen Hands,2018,73.5,179.0,77.5,4.0
Kevin Hervey,2018,78.5,211.6,87.5,9.0
