Player,Draft Year,Height (in),Weight (lbs),Wingspan (in),Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
Isaiah Thomas,2011,68.75,186.0,73.75,UWASH,35,31.9,16.8,5.4,12.1,0.445,1.7,4.9,0.349,4.3,6.0,0.719,0.7,2.8,3.5,6.1,1.3,0.1,3.0,2.1
Trey Thompkins,2011,80.5,239.0,85.0,UGA,30,31.2,16.4,6.5,13.4,0.481,0.8,2.5,0.311,2.7,4.0,0.689,1.9,5.8,7.6,1.4,1.1,1.7,2.5,2.2
Tristan Thompson,2011,79.5,227.4,85.25,UNT,33,32.0,18.0,4.8,10.4,0.459,2.0,4.8,0.418,6.4,7.7,0.834,0.5,2.7,3.2,1.8,0.7,0.1,2.2,1.9
Tristan Thompson,2011,79.5,227.4,85.25,TEXAS,36,30.7,13.1,4.8,8.8,0.546,0.0,0.0,0.0,3.5,7.3,0.487,3.8,4.0,7.8,1.3,0.9,2.4,1.8,2.8
Klay Thompson,2011,77.75,205.6,81.0,WSU,34,34.7,21.6,7.1,16.2,0.436,2.9,7.2,0.398,4.6,5.4,0.838,0.7,4.5,5.2,3.7,1.6,0.9,3.4,2.9
Nikola Vucevic,2011,82.25,259.8,88.5,USC,34,34.9,17.1,6.3,12.5,0.505,0.9,2.4,0.349,3.6,4.8,0.755,2.9,7.4,10.3,1.6,0.5,1.4,1.7,2.8
Kemba Walker,2011,71.5,184.0,75.5,UConn,41,37.6,23.5,7.7,18.0,0.428,1.8,5.5,0.33,6.3,7.7,0.819,1.3,4.1,5.4,4.5,1.9,0.2,2.3,1.4
Jordan Williams,2011,79.75,247.2,84.25,UMD,33,32.5,16.9,6.5,12.0,0.538,0.0,0.0,0.0,4.0,6.9,0.575,3.7,8.1,11.8,0.6,0.7,1.4,1.6,2.4
Derrick Williams,2011,79.25,248.4,85.5,ARZ,38,30.0,19.5,5.9,10.0,0.595,1.1,1.9,0.568,6.5,8.7,0.746,2.8,5.5,8.3,1.1,1.0,0.7,2.6,2.8
Quincy Acy,2012,78.5,223.8,86.75,BAYL,38,29.7,12.0,4.2,7.2,0.577,0.1,0.1,0.6,3.6,4.6,0.782,2.6,4.8,7.4,1.0,0.9,1.8,1.9,3.1
Harrison Barnes,2012,79.0,227.8,83.25,UNC,38,29.2,17.1,6.0,13.7,0.44,1.3,3.6,0.358,3.7,5.1,0.723,1.9,3.3,5.2,1.1,1.1,0.3,1.9,1.8
Will Barton,2012,77.0,174.4,81.75,MEMP,35,35.3,18.0,6.6,12.9,0.509,1.1,3.1,0.346,3.8,5.1,0.749,2.0,6.0,8.0,2.9,1.4,0.7,2.1,2.1
Bradley Beal,2012,75.25,201.8,80.0,FLA,37,34.3,14.8,4.7,10.6,0.445,1.7,5.0,0.339,3.6,4.7,0.769,1.4,5.4,6.7,2.2,1.4,0.8,2.1,2.1
J'Covan Brown,2012,73.0,202.4,77.25,TEXAS,34,35.5,20.1,6.6,15.7,0.417,2.4,6.4,0.369,4.6,5.4,0.863,0.9,2.5,3.4,3.8,1.2,0.1,2.7,1.9
William Buford,2012,76.0,214.6,81.5,OSU,39,33.8,14.5,5.3,12.5,0.419,1.6,4.4,0.358,2.4,2.9,0.825,0.9,4.1,5.0,2.7,0.8,0.2,2.2,1.8
Jae Crowder,2012,76.75,241.2,81.25,MARQ,35,33.0,17.5,6.2,12.5,0.498,1.7,5.1,0.345,3.4,4.6,0.735,2.0,6.4,8.4,2.1,2.5,1.0,1.3,2.7
Jared Cunningham,2012,75.5,187.6,78.5,ORST,36,34.6,17.9,5.5,12.2,0.45,1.4,4.1,0.338,5.5,7.5,0.737,1.0,2.8,3.8,2.8,2.5,0.4,2.8,2.4
Anthony Davis,2012,81.25,221.8,89.5,UK,40,32.0,14.2,5.3,8.4,0.623,0.1,0.5,0.15,3.6,5.1,0.709,3.0,7.4,10.4,1.3,1.4,4.7,1.0,2.0
Marcus Denmon,2012,74.25,188.2,77.0,MZZOU,35,34.6,17.7,5.7,12.4,0.46,2.8,6.9,0.407,3.4,3.8,0.896,1.0,4.0,5.0,2.1,1.5,0.0,1.2,1.0
Andre Drummond,2012,81.75,278.6,90.25,UConn,34,28.5,10.0,4.6,8.6,0.538,0.0,0.1,0.0,0.8,2.6,0.295,3.4,4.2,7.6,0.4,0.8,2.7,1.5,2.2
Kim English,2012,76.5,192.0,78.5,MZZOU,35,33.6,14.5,4.9,9.4,0.521,2.2,4.9,0.459,2.5,3.4,0.725,0.9,3.4,4.2,1.6,1.3,0.3,1.7,2.4
Drew Gordon,2012,80.0,239.0,83.5,UNM,35,30.8,13.7,5.4,9.9,0.542,0.1,0.1,1.0,2.9,3.9,0.752,3.1,8.0,11.1,1.2,1.1,1.0,2.3,2.2
JaMychal Green,2012,80.0,217.4,86.25,UA,26,29.2,14.0,5.2,9.6,0.546,0.1,0.4,0.2,3.4,5.0,0.69,2.4,5.0,7.4,1.8,0.7,1.5,2.7,3.2
Draymond Green,2012,77.75,235.6,85.25,MCHST,37,33.2,16.2,5.7,12.8,0.449,1.4,3.6,0.388,3.4,4.7,0.723,2.1,8.5,10.6,3.8,1.5,0.9,3.0,2.8
Maurice Harkless,2012,79.25,206.6,84.0,STJ,32,36.1,15.5,6.0,13.3,0.452,0.5,2.5,0.215,2.9,4.3,0.676,2.8,5.9,8.6,1.5,1.6,1.4,2.5,2.3
John Henson,2012,81.0,216.0,89.0,UNC,35,29.1,13.7,5.9,11.7,0.5,0.0,0.0,0.0,2.0,3.9,0.511,2.5,7.4,9.9,1.3,0.6,2.9,1.3,1.6
Tu Holloway,2012,70.5,186.8,77.5,XAV,34,36.6,17.5,4.9,11.4,0.429,1.3,3.8,0.346,6.4,7.4,0.862,0.4,3.2,3.6,4.9,1.5,0.1,3.0,2.1
Robbie Hummel,2012,79.25,218.0,80.5,PURD,35,32.2,16.4,5.5,13.3,0.417,2.1,5.4,0.383,3.2,3.9,0.825,1.6,5.6,7.2,1.9,0.7,1.2,0.9,2.1
Bernard James,2012,80.75,229.8,87.0,FLAST,35,28.0,10.8,4.5,7.4,0.606,0.0,0.0,0.0,1.8,3.3,0.552,3.1,5.0,8.1,0.5,0.7,2.3,2.1,1.9
John Jenkins,2012,75.25,212.0,80.5,VANDY,35,33.6,19.9,6.2,13.1,0.474,3.8,8.7,0.439,3.7,4.4,0.837,0.5,2.4,2.9,1.2,0.8,0.3,1.6,1.2
Orlando Johnson,2012,75.75,223.8,83.25,UCSB,31,34.4,19.7,6.7,14.8,0.451,2.3,5.3,0.427,4.1,5.9,0.698,1.7,4.1,5.8,2.9,1.1,0.7,2.5,1.8
Darius Johnson-Odom,2012,73.5,212.0,79.0,MARQ,34,32.9,18.3,6.2,13.8,0.447,2.3,5.9,0.385,3.7,4.9,0.764,0.6,2.9,3.5,2.7,0.9,0.1,2.4,2.0
Terrence Jones,2012,80.25,252.0,86.25,UK,38,29.3,12.3,4.7,9.3,0.5,0.4,1.3,0.327,2.6,4.2,0.627,2.5,4.6,7.2,1.3,1.3,1.8,1.6,2.4
Kevin Jones,2012,78.25,251.2,85.5,WVU,33,38.4,19.9,7.9,15.5,0.509,1.0,3.9,0.266,3.1,4.0,0.78,4.3,6.6,10.9,1.2,0.7,1.0,1.3,1.2
Perry Jones,2012,82.25,233.8,85.75,BAYL,33,30.7,13.5,5.5,11.0,0.5,0.3,1.0,0.303,2.2,3.1,0.696,2.7,4.9,7.6,1.3,0.8,0.6,1.7,2.3
Kris Joseph,2012,78.0,215.0,83.0,SYRA,37,32.3,13.4,4.4,10.5,0.421,1.4,4.0,0.345,3.2,4.2,0.745,1.5,3.2,4.7,1.5,1.4,0.6,1.5,1.7
Michael Kidd-Gilchrist,2012,77.75,232.8,84.0,UK,40,31.1,11.9,4.0,8.2,0.491,0.3,1.3,0.255,3.6,4.8,0.745,2.6,4.9,7.4,1.9,1.0,0.9,2.2,2.4
Doron Lamb,2012,75.25,199.4,78.75,UK,40,31.2,13.7,4.4,9.2,0.474,1.9,4.1,0.466,3.1,3.7,0.826,0.4,2.3,2.7,1.5,0.5,0.1,1.1,1.8
Jeremy Lamb,2012,76.0,179.2,83.0,UConn,34,37.2,17.7,6.4,13.4,0.478,2.1,6.2,0.336,2.9,3.6,0.81,0.9,3.9,4.9,1.7,1.2,0.6,2.0,1.7
Meyers Leonard,2012,83.75,249.8,87.0,ILL,32,31.8,13.6,5.3,9.1,0.584,0.0,0.3,0.091,2.9,4.0,0.732,2.3,5.9,8.2,1.3,0.5,1.9,2.1,2.9
Damian Lillard,2012,73.75,188.8,79.75,WEBER,32,34.6,24.5,7.2,15.5,0.467,2.9,7.2,0.409,7.1,8.0,0.887,0.5,4.5,5.0,4.0,1.5,0.2,2.3,1.9
Scott Machado,2012,73.0,205.8,76.0,IONA,33,35.5,13.6,4.7,9.5,0.495,1.2,3.0,0.404,3.0,3.7,0.811,0.9,4.0,4.9,9.9,1.6,0.2,3.3,2.6
Darius Miller,2012,78.0,233.4,81.0,UK,40,26.1,9.9,3.6,7.6,0.474,1.4,3.7,0.376,1.4,1.7,0.797,0.9,1.9,2.8,2.1,0.8,0.3,1.5,2.2
Quincy Miller,2012,80.75,218.7,85.25,BAYL,37,24.4,10.6,3.7,8.4,0.447,0.6,1.9,0.348,2.5,3.1,0.816,1.5,3.5,4.9,1.4,0.7,0.6,1.8,1.9
Tony Mitchell,2012,77.25,216.4,82.0,UNT,23,29.4,14.7,5.1,9.0,0.567,0.8,1.8,0.439,3.7,5.0,0.739,2.5,7.8,10.3,1.6,0.9,3.0,2.8,3.0
Arnett Moultrie,2012,81.5,232.8,86.25,MISST,30,35.8,16.4,6.0,10.9,0.549,0.3,0.6,0.444,4.1,5.3,0.78,3.7,6.8,10.5,1.2,0.8,0.8,2.4,2.2
Kevin Murphy,2012,77.0,194.0,78.75,TNTCH,33,34.5,20.6,7.2,16.3,0.444,2.4,5.8,0.416,3.8,5.2,0.721,0.9,4.3,5.2,2.3,0.8,0.2,3.3,2.2
Andrew Nicholson,2012,80.5,234.0,88.0,STBN,32,30.1,18.5,6.9,12.0,0.571,0.7,1.7,0.434,4.0,5.2,0.776,2.6,5.8,8.4,1.0,0.7,2.0,2.5,2.8
Kyle O'Quinn,2012,80.5,240.8,88.75,NORF,36,31.3,15.9,5.7,9.9,0.573,0.2,0.9,0.188,4.3,6.2,0.696,3.2,7.2,10.3,1.4,0.7,2.7,2.6,3.3
Austin Rivers,2012,75.5,202.8,79.25,DUKE,34,33.2,15.5,5.1,11.8,0.433,1.7,4.7,0.365,3.6,5.4,0.658,0.6,2.8,3.4,2.1,1.0,0.0,2.3,2.2
Thomas Robinson,2012,79.75,244.2,87.25,KU,39,31.8,17.7,6.7,13.3,0.505,0.2,0.4,0.5,4.2,6.1,0.682,2.9,9.0,11.9,1.8,1.1,0.9,2.7,2.7
Terrence Ross,2012,78.0,196.6,79.25,UWASH,35,31.1,16.4,6.1,13.4,0.457,2.1,5.5,0.371,2.1,2.7,0.766,1.4,5.1,6.4,1.4,1.3,0.9,2.0,2.8
Mike Scott,2012,79.25,240.8,82.75,UVA,32,31.2,18.0,6.7,11.9,0.563,0.2,0.6,0.3,4.3,5.4,0.808,2.2,6.1,8.3,1.2,0.7,0.5,2.1,1.8
Henry Sims,2012,82.0,241.2,88.0,GTOWN,33,27.5,11.6,4.0,8.7,0.462,0.0,0.0,0.0,3.6,5.1,0.708,1.8,4.2,6.0,3.5,0.6,1.4,2.8,2.7
Jared Sullinger,2012,79.75,268.2,85.25,OSU,37,30.4,17.5,6.2,11.9,0.519,0.4,1.1,0.4,4.7,6.2,0.768,3.1,6.1,9.2,1.2,1.2,1.1,1.9,2.9
Tyshawn Taylor,2012,74.75,177.0,78.25,KU,39,33.4,16.6,5.8,12.2,0.477,1.5,3.9,0.382,3.5,5.1,0.688,0.2,2.1,2.3,4.8,1.3,0.2,3.5,2.0
Jordan Taylor,2012,73.0,192.8,75.0,UWISC,36,36.0,14.8,4.6,11.5,0.402,1.8,4.9,0.369,3.8,4.8,0.785,0.9,2.9,3.8,4.1,1.0,0.0,1.6,2.0
Marquis Teague,2012,73.0,179.8,79.25,UK,40,32.6,10.0,3.6,8.8,0.412,0.7,2.0,0.325,2.1,3.0,0.714,0.4,2.1,2.5,4.8,0.9,0.3,2.7,2.3
Hollis Thompson,2012,78.75,206.0,81.5,GTOWN,33,31.0,12.8,4.7,10.1,0.464,1.8,4.1,0.43,1.7,2.5,0.679,1.3,4.2,5.5,1.5,0.7,0.5,1.7,2.2
Dion Waiters,2012,74.5,221.0,79.25,SYRA,37,23.9,12.6,4.6,9.6,0.476,1.1,3.1,0.363,2.3,3.2,0.729,0.5,1.8,2.3,2.5,1.8,0.3,1.3,1.9
Royce White,2012,79.0,260.6,84.0,IWAST,34,31.5,13.4,5.1,9.6,0.534,0.1,0.4,0.333,3.0,6.0,0.498,2.5,6.8,9.3,5.0,1.2,0.9,3.8,2.6
Tony Wroten,2012,76.75,203.2,81.0,UWASH,35,30.3,16.0,5.7,12.8,0.443,0.3,1.6,0.161,4.4,7.5,0.583,2.3,2.7,5.0,3.7,1.9,0.4,3.8,2.7
Tyler Zeller,2012,83.25,247.4,84.0,UNC,38,28.2,16.3,5.8,10.5,0.553,0.0,0.0,0.0,4.8,5.9,0.808,3.8,5.8,9.6,0.9,0.9,1.5,1.9,2.7
Vander Blue,2013,75.5,197.4,78.0,MARQ,34,33.1,14.8,5.4,11.9,0.454,1.2,3.9,0.303,2.8,3.7,0.756,0.6,2.6,3.2,1.8,1.0,0.0,2.3,1.8
Lorenzo Brown,2013,76.0,189.2,79.0,NCST,33,34.2,12.4,4.2,10.1,0.419,0.6,2.3,0.263,3.3,4.2,0.771,0.7,3.7,4.3,7.2,2.0,0.6,3.5,2.0
Reggie Bullock,2013,77.75,199.8,80.75,UNC,35,31.4,13.9,4.9,10.2,0.483,2.5,5.8,0.436,1.6,2.1,0.767,2.0,4.4,6.5,2.9,1.3,0.3,1.2,1.4
Trey Burke,2013,71.75,187.0,77.5,MICH,39,35.2,18.6,6.6,14.4,0.463,1.9,5.1,0.384,3.4,4.3,0.801,0.5,2.6,3.2,6.7,1.6,0.5,2.2,1.9
Kentavious Caldwell-Pope,2013,76.5,203.6,80.0,UGA,32,34.0,18.5,5.8,13.4,0.433,2.6,7.0,0.373,4.2,5.3,0.799,1.2,5.9,7.1,1.8,2.0,0.5,2.0,2.2
Isaiah Canaan,2013,71.0,188.4,76.5,MRRY,31,36.5,21.8,6.9,16.1,0.431,3.0,8.2,0.37,4.9,6.0,0.822,0.6,2.9,3.5,4.3,1.5,0.1,3.2,1.9
Jackie Carmichael,2013,79.5,241.2,85.5,ILLST,33,30.6,17.4,6.5,12.2,0.527,0.1,0.3,0.182,4.5,6.5,0.681,2.5,6.8,9.3,0.8,1.0,2.1,2.3,2.5
Michael Carter-Williams,2013,76.75,184.4,79.25,SYRA,40,35.2,11.9,3.9,9.9,0.393,0.9,3.0,0.294,3.2,4.7,0.694,1.3,3.6,4.9,7.3,2.8,0.5,3.4,2.3
Will Clyburn,2013,77.75,210.4,84.25,IWAST,35,31.5,14.9,4.7,10.7,0.443,1.2,3.8,0.308,4.3,5.5,0.768,2.0,4.8,6.8,2.1,0.9,0.4,2.6,1.5
Allen Crabbe,2013,77.25,197.4,83.25,Cal,33,36.2,18.4,6.5,14.2,0.459,1.9,5.6,0.348,3.4,4.2,0.813,1.0,5.1,6.1,2.6,1.1,0.7,2.5,2.1
Seth Curry,2013,73.0,179.2,76.0,DUKE,35,32.3,17.5,5.6,12.1,0.465,2.7,6.2,0.438,3.5,4.3,0.809,0.6,2.0,2.5,1.5,0.9,0.2,1.2,1.7
Brandon Davies,2013,80.5,241.8,85.5,BYU,36,29.3,17.7,6.4,12.2,0.522,0.1,0.4,0.357,4.8,7.1,0.682,2.1,5.9,8.0,2.4,1.3,1.0,2.6,3.1
Gorgui Dieng,2013,81.75,229.6,87.5,LVILL,33,31.1,9.8,3.8,7.1,0.534,0.0,0.0,0.0,2.2,3.4,0.652,3.4,6.0,9.4,2.0,1.3,2.5,1.8,2.6
James Ennis,2013,77.75,200.8,83.5,LBSU,33,33.1,16.5,5.5,11.2,0.491,1.7,4.7,0.357,3.8,4.6,0.834,2.0,4.7,6.7,2.1,1.8,1.3,3.0,2.3
Carrick Felix,2013,76.75,202.6,81.25,ASU,35,35.3,14.6,5.4,10.8,0.5,1.5,4.0,0.374,2.3,3.5,0.664,2.1,6.1,8.1,1.6,1.4,1.1,2.0,3.0
Jamaal Franklin,2013,76.0,190.8,83.25,SDSU,33,33.1,17.0,5.1,12.4,0.413,1.3,4.5,0.28,5.5,6.9,0.786,1.7,7.8,9.5,3.3,1.6,0.8,3.4,2.6
Archie Goodwin,2013,75.75,189.0,81.5,UK,33,31.8,14.1,4.8,10.8,0.44,0.5,1.9,0.266,4.1,6.4,0.637,1.5,3.2,4.6,2.7,1.1,0.5,3.1,2.9
Erick Green,2013,73.5,178.2,77.75,VT,32,36.6,25.0,8.2,17.2,0.475,1.9,4.9,0.389,6.8,8.3,0.816,0.5,3.5,4.0,3.8,1.3,0.2,2.2,1.4
Tim Hardaway Jr.,2013,76.5,199.4,79.0,MICH,38,34.8,14.5,5.3,12.1,0.437,1.9,5.1,0.374,2.0,2.9,0.694,0.2,4.4,4.7,2.4,0.7,0.4,1.9,1.9
Solomon Hill,2013,77.5,226.0,81.0,ARZ,35,33.0,13.4,4.5,9.9,0.458,1.6,4.2,0.39,2.7,3.5,0.766,1.7,3.6,5.3,2.7,1.1,0.6,2.2,2.2
Richard Howell,2013,78.25,249.6,82.25,NCST,35,31.6,12.7,5.2,9.2,0.57,0.0,0.0,0.0,2.3,3.5,0.648,3.7,7.1,10.9,1.7,1.0,0.9,1.6,3.0
Colton Iverson,2013,82.5,262.8,86.0,COLST,35,29.5,14.2,5.2,8.8,0.596,0.0,0.0,0.0,3.7,6.3,0.59,3.3,6.4,9.8,1.3,0.6,0.7,2.0,2.6
Pierre Jackson,2013,69.5,176.0,70.0,BAYL,36,34.8,19.8,6.0,14.1,0.427,2.4,6.8,0.359,5.3,6.7,0.8,0.7,3.1,3.8,7.1,1.5,0.0,3.4,2.2
Kenny Kadji,2013,80.75,241.6,87.0,UMFL,36,29.1,12.9,4.7,9.9,0.471,1.3,3.7,0.351,2.3,3.4,0.661,1.6,5.2,6.8,0.8,0.4,1.3,1.8,2.4
Shane Larkin,2013,70.25,170.8,70.75,UMFL,36,36.4,14.5,5.1,10.6,0.479,1.9,4.7,0.406,2.4,3.1,0.777,0.5,3.4,3.8,4.6,2.0,0.1,2.3,1.6
Alex Len,2013,,-,87.5,UMD,38,26.4,11.9,4.6,8.5,0.534,0.0,0.2,0.125,2.8,4.0,0.686,2.9,5.0,7.8,1.0,0.2,2.1,1.6,2.7
CJ Leslie,2013,79.5,209.2,86.25,NCST,35,32.4,15.1,5.5,10.6,0.519,0.1,0.2,0.333,4.1,6.6,0.612,1.9,5.5,7.4,1.5,1.0,1.2,3.0,2.5
Trevor Mbakwe,2013,78.75,235.8,88.0,MINN,34,24.9,10.0,3.6,6.3,0.565,0.0,0.0,0.0,2.9,4.6,0.614,3.3,5.4,8.7,1.1,0.7,1.4,2.1,2.5
Ray McCallum,2013,72.25,191.4,75.25,UDM,33,36.6,18.7,6.5,13.2,0.491,1.3,3.9,0.323,4.5,6.2,0.717,1.3,3.8,5.1,4.5,1.9,0.6,2.1,2.0
Ben McLemore,2013,75.5,189.2,79.75,KU,37,32.2,15.9,5.4,10.8,0.495,2.0,4.7,0.42,3.2,3.7,0.87,1.3,3.9,5.2,2.0,1.0,0.7,2.1,1.9
Tony Mitchell,2013,79.5,236.4,86.5,UNT,32,32.4,13.0,4.4,9.9,0.44,0.9,3.1,0.3,3.3,4.9,0.675,2.4,6.1,8.5,0.8,1.0,2.7,2.4,2.9
Shabazz Muhammad,2013,76.75,221.8,83.0,UCLA,32,30.8,17.9,6.3,14.3,0.443,1.3,3.3,0.377,4.0,5.6,0.711,2.7,2.5,5.2,0.8,0.7,0.1,1.6,1.7
Erik Murphy,2013,80.75,239.8,82.5,FLA,36,26.4,12.2,4.6,8.8,0.516,2.0,4.4,0.453,1.1,1.4,0.784,1.6,3.9,5.5,1.4,0.6,0.7,1.4,2.8
Mike Muscala,2013,82.25,230.2,85.0,BUCK,34,31.7,18.7,6.7,13.1,0.509,0.1,0.5,0.25,5.3,6.7,0.789,2.9,8.2,11.1,2.3,0.5,2.4,1.7,2.2
Victor Oladipo,2013,75.25,213.2,81.25,IU,36,28.4,13.6,5.1,8.4,0.599,0.8,1.9,0.441,2.7,3.6,0.746,2.6,3.7,6.3,2.1,2.2,0.8,2.3,2.5
Kelly Olynyk,2013,82.75,234.0,81.75,ZAGS,32,26.4,17.8,6.7,10.7,0.629,0.3,0.9,0.3,4.1,5.3,0.776,2.4,4.9,7.3,1.7,0.7,1.1,2.4,2.3
Brandon Paul,2013,74.75,201.0,82.25,ILL,36,32.1,16.6,5.1,12.8,0.401,2.2,6.7,0.325,4.2,5.7,0.738,0.6,3.8,4.4,2.7,1.2,0.6,2.7,2.4
Mason Plumlee,2013,83.25,238.2,83.0,DUKE,36,34.7,17.1,6.1,10.3,0.599,0.0,0.0,0.0,4.8,7.1,0.681,2.8,7.2,10.0,1.9,1.0,1.4,2.9,2.6
Otto Porter,2013,79.5,197.6,85.5,GTOWN,31,35.4,16.2,5.4,11.3,0.48,1.4,3.3,0.422,3.9,5.1,0.777,1.8,5.7,7.5,2.7,1.8,0.9,1.5,2.0
Phil Pressey,2013,69.5,177.0,74.25,MZZOU,34,33.8,11.9,4.1,11.0,0.376,1.4,4.2,0.324,2.2,3.0,0.735,0.8,2.5,3.3,7.1,1.8,0.1,3.5,1.9
Andre Roberson,2013,78.25,205.8,83.0,COLO,31,33.4,10.9,4.3,8.9,0.48,0.6,1.9,0.328,1.7,3.2,0.551,3.0,8.2,11.2,1.4,2.2,1.3,2.4,2.5
Peyton Siva,2013,71.5,180.6,75.0,LVILL,40,31.2,10.0,3.5,8.6,0.404,1.0,3.3,0.288,2.1,2.5,0.867,0.3,2.1,2.4,5.7,2.3,0.2,2.7,2.6
Tony Snell,2013,78.0,198.2,83.5,UNM,35,31.2,12.5,4.1,9.7,0.422,1.8,4.7,0.39,2.5,2.9,0.843,0.4,2.2,2.6,2.9,0.8,0.5,2.1,1.3
James Southerland,2013,79.0,220.6,85.0,SYRA,34,29.5,13.3,4.7,10.5,0.45,2.5,6.2,0.398,1.3,1.7,0.789,1.3,3.9,5.2,1.1,1.4,0.8,1.2,2.3
Adonis Thomas,2013,76.75,231.8,85.0,MEMP,36,29.3,11.7,4.3,10.6,0.405,0.7,2.5,0.292,2.4,3.1,0.752,1.5,2.9,4.5,1.9,0.7,0.7,1.6,1.4
Deshaun Thomas,2013,77.0,219.8,82.0,OSU,37,35.4,19.8,7.0,15.8,0.445,1.9,5.6,0.344,3.8,4.6,0.834,1.7,4.2,5.9,1.3,0.5,0.3,1.4,1.5
Jeff Withey,2013,82.75,221.8,86.0,KU,37,30.9,13.7,5.0,8.6,0.582,0.0,0.0,1.0,3.7,5.2,0.714,2.1,6.4,8.5,0.9,0.8,3.9,2.0,2.1
Nate Wolters,2013,75.5,196.4,75.75,SDKSU,33,38.1,22.3,7.3,15.1,0.485,1.9,5.1,0.379,5.7,7.0,0.813,1.1,4.5,5.6,5.8,1.7,0.1,2.3,1.5
Cody Zeller,2013,82.75,230.0,82.75,IU,36,29.5,16.5,5.5,9.8,0.562,0.0,0.1,0.0,5.4,7.2,0.757,2.8,5.2,8.0,1.3,1.0,1.3,2.3,2.2
Jordan Adams,2014,75.5,208.8,82.0,UCLA,36,30.1,17.4,5.8,11.9,0.485,1.4,4.1,0.356,4.4,5.3,0.836,1.9,3.5,5.3,2.3,2.6,0.1,1.5,2.2
Kyle Anderson,2014,79.5,230.1,86.75,UCLA,36,33.2,14.6,5.0,10.5,0.48,0.8,1.6,0.483,3.8,5.2,0.737,1.3,7.5,8.8,6.5,1.8,0.8,3.1,1.7
Kyle Anderson,2014,79.5,230.1,86.75,DEL,35,34.7,11.0,3.6,9.1,0.394,2.4,6.5,0.376,1.4,1.8,0.778,0.9,2.8,3.7,0.9,0.8,0.3,0.8,2.6
Jordan Bachynski,2014,85.25,254.1,88.0,ASU,33,30.9,11.5,4.0,7.4,0.545,0.0,0.0,0.0,3.4,4.9,0.693,2.2,6.1,8.2,0.5,0.4,4.0,1.5,3.0
Cameron Bairstow,2014,80.75,252.4,84.75,UNM,34,32.9,20.4,7.0,12.5,0.556,0.0,0.1,0.333,6.4,8.8,0.735,2.2,5.1,7.4,1.6,0.6,1.5,2.0,2.1
Khem Birch,2014,79.5,208.8,85.0,UNLV,33,31.4,11.5,3.8,7.4,0.51,0.0,0.0,0.0,4.0,5.7,0.693,4.0,6.2,10.2,1.2,0.6,3.8,1.3,2.3
Alec Brown,2014,84.25,231.2,85.5,UWGB,30,30.3,15.3,5.5,11.6,0.476,1.4,3.3,0.42,2.9,4.0,0.727,2.1,3.6,5.7,1.0,0.5,3.1,2.2,2.2
Markel Brown,2014,74.5,184.4,80.75,OKST,34,35.3,17.2,5.6,11.8,0.473,1.6,4.3,0.379,4.4,5.7,0.768,1.1,4.2,5.3,2.9,1.0,1.0,1.6,2.5
Jabari Brown,2014,75.0,201.9,80.25,MZZOU,35,37.1,19.9,5.8,12.4,0.467,2.3,5.6,0.41,6.1,7.6,0.797,0.5,3.9,4.4,1.9,0.6,0.1,2.3,1.6
Deonte Burton,2014,72.0,192.8,79.0,UNR,32,38.6,20.1,6.7,14.3,0.471,1.5,4.9,0.314,5.1,6.9,0.742,0.4,3.9,4.3,4.4,1.5,0.5,2.0,2.2
Semaj Christon,2014,73.5,186.0,78.5,XAV,34,35.3,17.0,5.9,12.4,0.479,0.6,1.4,0.388,4.6,6.9,0.668,0.4,2.2,2.7,4.2,1.3,0.2,2.6,2.1
Jordan Clarkson,2014,75.25,186.3,80.0,MZZOU,35,35.1,17.5,6.0,13.3,0.448,0.9,3.3,0.281,4.6,5.6,0.831,0.8,3.0,3.8,3.4,1.1,0.2,2.7,2.2
Aaron Craft,2014,72.75,191.6,74.0,OSU,35,34.4,9.8,3.2,6.8,0.473,0.5,1.5,0.302,2.9,3.9,0.741,0.3,3.3,3.6,4.7,2.5,0.1,2.6,2.4
DeAndre Daniels,2014,79.25,196.0,86.0,UConn,38,29.0,13.1,4.9,10.6,0.469,1.3,3.2,0.417,1.8,2.3,0.787,1.4,4.6,6.0,0.4,0.7,1.4,1.5,2.4
Cleanthony Early,2014,78.0,209.4,82.75,WICHI,36,27.4,16.4,5.2,10.7,0.484,1.8,4.9,0.373,4.2,5.0,0.844,1.3,4.6,5.9,0.8,0.8,0.8,1.9,2.3
Melvin Ejim,2014,77.25,218.5,83.25,IWAST,34,32.1,17.8,6.5,12.8,0.505,1.3,3.7,0.346,3.6,4.7,0.761,2.6,5.8,8.4,1.8,1.2,0.7,2.3,3.3
Tyler Ennis,2014,73.0,181.5,79.25,SYRA,34,35.7,12.9,4.4,10.6,0.411,0.9,2.5,0.353,3.4,4.4,0.765,0.8,2.6,3.4,5.5,2.1,0.2,1.7,2.0
C.J. Fair,2014,78.5,218.1,81.5,SYRA,34,37.8,16.5,6.4,14.9,0.429,0.7,2.6,0.276,3.0,4.2,0.725,1.7,4.7,6.4,1.3,1.3,0.8,2.5,2.1
Aaron Gordon,2014,79.5,220.1,83.75,ARZ,38,31.2,12.4,5.0,10.1,0.495,0.4,1.2,0.356,2.0,4.7,0.422,2.7,5.3,8.0,2.0,0.9,1.0,1.4,2.4
