Player,Draft Year,Height (in),Weight (lbs),Wingspan (in),Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
James Johnson,2009,79.0,257.2,84.75,QUIN,31,32.5,9.8,3.4,9.5,0.359,0.8,2.5,0.321,2.2,2.7,0.798,0.9,2.8,3.7,4.1,1.5,0.1,2.8,2.6
Ty Lawson,2009,71.25,196.6,72.75,UNC,35,30.0,16.6,5.2,9.8,0.532,1.5,3.1,0.472,4.7,5.9,0.798,0.7,2.3,3.0,6.6,2.1,0.1,1.9,1.7
Eric Maynor,2009,74.25,163.6,74.5,VCU,34,35.5,22.4,7.3,15.8,0.463,1.9,5.4,0.361,5.8,7.1,0.815,0.5,3.1,3.6,6.2,1.7,0.2,3.0,2.4
Jack McClinton,2009,71.75,185.2,74.5,UMFL,32,32.2,19.3,6.3,13.9,0.449,3.2,7.0,0.453,3.6,4.1,0.885,0.6,2.5,3.1,2.8,0.8,0.0,2.6,1.6
Jerel McNeal,2009,73.5,190.4,79.25,MARQ,35,35.0,19.8,6.7,15.3,0.442,2.5,6.2,0.398,3.9,5.2,0.738,0.8,3.7,4.5,3.9,2.0,0.6,2.9,2.5
Jodie Meeks,2009,75.0,211.4,76.5,UK,36,34.4,23.7,7.3,15.8,0.463,3.3,8.0,0.406,5.9,6.5,0.902,0.5,2.9,3.4,1.8,1.3,0.1,2.7,1.9
Patty Mills,2009,71.25,175.4,74.0,STMRY,26,33.3,18.4,6.3,15.6,0.402,2.6,7.6,0.338,3.3,3.8,0.859,0.5,1.9,2.4,3.9,2.2,0.2,2.9,1.7
A.J. Price,2009,72.5,192.8,75.75,UConn,35,31.8,14.7,4.9,11.9,0.408,2.3,5.8,0.402,2.7,3.7,0.721,0.6,2.9,3.5,4.7,0.7,0.0,2.7,1.3
Tyler Smith,2009,77.25,212.0,81.75,TENN,34,32.6,17.4,5.8,13.1,0.439,0.8,2.8,0.292,5.0,6.5,0.766,2.1,3.7,5.8,3.4,0.7,0.2,2.1,2.1
DaJuan Summers,2009,79.25,243.0,84.75,GTOWN,31,29.4,13.6,4.4,9.3,0.474,1.7,4.4,0.385,3.1,4.4,0.713,1.2,3.0,4.1,1.3,1.1,0.7,2.6,2.6
Jermaine Taylor,2009,75.5,207.4,80.75,UCF,31,31.9,26.2,9.4,19.5,0.48,3.0,7.9,0.376,4.5,5.5,0.812,1.9,3.3,5.2,1.9,1.3,0.8,2.8,1.8
Jeff Teague,2009,72.25,175.2,79.5,WF,31,32.0,18.8,5.8,12.0,0.485,1.5,3.3,0.441,5.8,7.1,0.817,0.5,2.8,3.3,3.5,1.9,0.6,3.4,2.2
Hasheem Thabeet,2009,85.25,267.2,90.25,UConn,36,31.8,13.6,4.9,7.7,0.64,0.0,0.0,0.0,3.7,5.9,0.627,3.7,7.1,10.8,0.5,0.6,4.2,1.9,2.5
Marcus Thornton,2009,74.75,194.4,77.0,LSU,35,32.0,21.1,7.3,15.5,0.472,2.2,5.7,0.388,4.3,5.7,0.745,2.0,3.5,5.5,2.1,1.6,0.4,1.8,2.1
Terrence Williams,2009,77.0,213.2,81.0,LVILL,37,34.2,12.5,4.6,10.6,0.431,1.5,4.0,0.385,1.8,3.2,0.581,1.4,7.2,8.6,5.0,2.3,0.8,2.3,1.7
Sam Young,2009,77.25,222.8,82.75,PITT,36,31.8,19.2,7.3,14.4,0.502,1.5,4.0,0.372,3.2,4.3,0.74,1.9,4.3,6.3,1.1,1.0,0.8,2.4,1.7
Solomon Alabi,2010,83.5,237.4,89.0,FLAST,32,25.6,11.7,4.2,7.8,0.534,0.0,0.0,0.0,3.4,4.3,0.794,2.5,3.7,6.2,0.5,0.6,2.3,1.9,2.3
Cole Aldrich,2010,81.0,236.0,88.75,KU,36,26.8,11.3,4.1,7.4,0.562,0.0,0.0,0.0,3.0,4.4,0.679,3.1,6.8,9.8,0.9,0.8,3.5,1.6,2.6
Al-Farouq Aminu,2010,79.25,216.0,87.25,WF,31,31.3,15.8,5.4,12.1,0.447,0.6,2.1,0.273,4.5,6.4,0.698,4.3,6.4,10.7,1.3,1.4,1.4,3.2,2.9
James Anderson,2010,76.75,207.6,80.5,OKST,33,34.1,22.3,6.8,15.0,0.457,2.2,6.6,0.341,6.3,7.8,0.81,1.9,3.9,5.8,2.4,1.4,0.6,2.4,2.7
Luke Babbitt,2010,79.5,217.8,83.25,UNR,34,37.1,21.9,7.4,14.8,0.5,1.2,3.0,0.416,5.9,6.4,0.917,2.1,6.9,8.9,2.1,1.0,0.8,2.4,2.6
Eric Bledsoe,2010,72.25,191.6,79.5,UK,37,30.3,11.3,3.9,8.4,0.462,1.3,3.5,0.383,2.2,3.3,0.667,0.5,2.6,3.1,2.9,1.4,0.3,3.0,2.2
Trevor Booker,2010,78.25,235.8,81.75,CLEM,32,30.8,15.2,5.9,11.3,0.521,0.3,1.1,0.265,3.2,5.3,0.591,2.8,5.6,8.4,2.5,1.3,1.4,1.9,2.0
Craig Brackins,2010,80.5,229.0,84.0,IWAST,32,35.1,16.5,6.0,14.3,0.42,0.8,2.7,0.31,3.7,4.8,0.76,2.1,6.4,8.5,2.2,0.8,1.2,2.1,2.0
Avery Bradley,2010,74.0,180.4,79.25,TEXAS,34,29.5,11.6,4.7,10.8,0.432,1.2,3.3,0.375,1.1,1.9,0.545,1.0,1.9,2.9,2.1,1.3,0.5,1.5,2.4
Derrick Caracter,2010,80.25,280.0,84.25,UTEP,27,26.7,14.1,5.5,9.7,0.567,0.1,0.6,0.267,3.0,4.4,0.672,2.7,5.4,8.1,1.1,1.0,0.8,2.9,3.0
Sherron Collins,2010,70.25,217.2,74.5,KU,36,33.0,15.5,5.1,12.1,0.426,1.9,5.3,0.37,3.3,3.8,0.855,0.2,1.9,2.1,4.5,1.1,0.1,2.4,1.7
DeMarcus Cousins,2010,81.5,291.8,89.75,UK,38,23.5,15.1,5.4,9.7,0.558,0.0,0.2,0.167,4.3,7.0,0.607,4.1,5.8,9.9,1.0,1.0,1.8,2.1,3.2
Jordan Crawford,2010,75.0,198.4,79.0,XAV,35,32.8,20.5,7.4,16.1,0.462,2.3,5.8,0.391,3.4,4.4,0.773,1.0,3.8,4.7,2.9,1.3,0.2,2.4,1.6
Devin Ebanks,2010,79.0,207.8,84.25,WVU,34,34.1,12.0,4.2,9.3,0.457,0.1,0.9,0.1,3.4,4.5,0.77,2.9,5.2,8.1,2.4,1.1,0.7,2.2,1.6
