Player,Probability,Actual
Tyler Harvey,0.14,0
TJ McConnell,0.14,0
Curtis Stinson,0.14,0
Kevin Knox,0.14,0
Jared Cunningham,0.13,0
Ray McCallum,0.13,0
Grayson Allen,0.13,0
Joe Alexander,0.13,0
David Lighty,0.13,0
DeAndre Bembry,0.13,0
Luke Harangody,0.13,0
Corey Brewer,0.13,0
Jordan Williams,0.13,0
Jon Scheyer,0.13,0
Raymond Felton,0.13,0
Jamie Skeen,0.13,0
Dustin Salisbery,0.13,0
Derrick White,0.13,0
Jeff Withey,0.13,0
Malik Newman,0.13,0
DJ Strawberry,0.13,0
Jeff Ayres,0.13,0
Luguentz Dort,0.13,0
Jarrett Jack,0.12,0
Aleks Maric,0.12,0
James Ennis,0.12,0
Will Barton,0.12,0
Alec Burks,0.12,0
Al Thornton,0.12,0
Tyler Hansbrough,0.12,0
DeJuan Blair,0.12,0
D.J. Augustin,0.12,0
Jarnell Stokes,0.12,0
Rashad Wright,0.12,0
Uche Nsonwu-Amadi,0.12,0
Aaron Gordon,0.12,0
Monte Morris,0.12,0
Darren Collison,0.12,0
Dez Wells,0.12,0
Carsen Edwards,0.12,0
Damien Wilkins,0.12,0
A.J. Price,0.12,0
Brandon Davies,0.12,0
Darrell Arthur,0.12,0
Alex Acker,0.12,0
Jeff Newton,0.11,0
Nate Robinson,0.11,0
Charles Bassey,0.11,0
Ronny Turiaf,0.11,0
Ekpe Udoh,0.11,0
Sindarius Thornwell,0.11,0
Dijon Thompson,0.11,0
DeMarre Carroll,0.11,0
Jason Kapono,0.11,0
Jerryd Bayless,0.11,0
Tristan Thompson,0.11,0
Chris Taft,0.11,0
Jarrett Culver,0.11,0
Ronnie Brewer,0.11,0
Jordan Farmar,0.11,0
Marcus Hatten,0.11,0
Solomon Hill,0.11,0
Adam Morrison,0.11,0
Wesley Iwundu,0.11,0
Randy Foye,0.11,0
Bernard Robinson,0.11,0
Marcus Morris,0.11,0
Nick Young,0.11,0
Justin Williams,0.1,0
Allen Crabbe,0.1,0
Eric Gordon,0.1,0
Ronald Dupree,0.1,0
Craig Smith,0.1,0
Talen Horton-Tucker,0.1,0
Dwayne Jones,0.1,0
Eric Williams,0.1,0
R.J. Hunter,0.1,0
